size,classifier,pp,precision,recall,f1_score
11994288,MultinomialNB,True,0.62,0.62,0.62
12294288,MultinomialNB,True,0.62,0.62,0.62
12594288,MultinomialNB,True,0.62,0.62,0.62
12894288,MultinomialNB,True,0.62,0.62,0.62
13194288,MultinomialNB,True,0.62,0.62,0.62
13494288,MultinomialNB,True,0.62,0.62,0.62
13794288,MultinomialNB,True,0.62,0.62,0.62
14094288,MultinomialNB,True,0.62,0.62,0.62
14394288,MultinomialNB,True,0.62,0.62,0.62
14694288,MultinomialNB,True,0.62,0.62,0.62
14994288,MultinomialNB,True,0.62,0.62,0.62
15294288,MultinomialNB,True,0.62,0.62,0.62
15594288,MultinomialNB,True,0.62,0.62,0.62
15894288,MultinomialNB,True,0.62,0.62,0.62
16194288,MultinomialNB,True,0.62,0.62,0.62
16494288,MultinomialNB,True,0.62,0.62,0.62
16794288,MultinomialNB,True,0.62,0.62,0.62
17094288,MultinomialNB,True,0.62,0.62,0.62
17394288,MultinomialNB,True,0.62,0.62,0.62
17694288,MultinomialNB,True,0.62,0.62,0.62
17994288,MultinomialNB,True,0.62,0.62,0.62
18025887,MultinomialNB,True,0.62,0.62,0.62
16,SGDClassifier,False,0.35,0.33,0.24
48,SGDClassifier,False,0.38,0.35,0.29
112,SGDClassifier,False,0.40,0.38,0.37
240,SGDClassifier,False,0.44,0.44,0.44
496,SGDClassifier,False,0.47,0.45,0.45
1008,SGDClassifier,False,0.46,0.46,0.45
2032,SGDClassifier,False,0.48,0.48,0.48
4080,SGDClassifier,False,0.52,0.52,0.51
8176,SGDClassifier,False,0.52,0.53,0.52
16368,SGDClassifier,False,0.56,0.56,0.55
32752,SGDClassifier,False,0.57,0.57,0.57
65520,SGDClassifier,False,0.58,0.58,0.58
131056,SGDClassifier,False,0.59,0.59,0.59
262128,SGDClassifier,False,0.59,0.59,0.59
524272,SGDClassifier,False,0.60,0.59,0.59
1048560,SGDClassifier,False,0.60,0.59,0.59
2097136,SGDClassifier,False,0.60,0.59,0.59
4194288,SGDClassifier,False,0.60,0.59,0.59
4494288,SGDClassifier,False,0.60,0.59,0.59
4794288,SGDClassifier,False,0.60,0.59,0.59
5094288,SGDClassifier,False,0.60,0.59,0.59
5394288,SGDClassifier,False,0.60,0.59,0.59
5694288,SGDClassifier,False,0.60,0.59,0.58
5994288,SGDClassifier,False,0.60,0.59,0.58
6294288,SGDClassifier,False,0.60,0.59,0.58
6594288,SGDClassifier,False,0.60,0.59,0.59
6894288,SGDClassifier,False,0.60,0.59,0.59
7194288,SGDClassifier,False,0.60,0.59,0.59
7494288,SGDClassifier,False,0.60,0.59,0.59
7794288,SGDClassifier,False,0.60,0.59,0.58
8094288,SGDClassifier,False,0.60,0.59,0.59
8394288,SGDClassifier,False,0.60,0.59,0.58
8694288,SGDClassifier,False,0.60,0.59,0.58
8994288,SGDClassifier,False,0.60,0.59,0.58
9294288,SGDClassifier,False,0.60,0.59,0.58
9594288,SGDClassifier,False,0.60,0.59,0.58
9894288,SGDClassifier,False,0.60,0.59,0.58
10194288,SGDClassifier,False,0.60,0.59,0.58
10494288,SGDClassifier,False,0.60,0.59,0.58
10794288,SGDClassifier,False,0.60,0.59,0.58
11094288,SGDClassifier,False,0.60,0.59,0.58
11394288,SGDClassifier,False,0.60,0.59,0.59
11694288,SGDClassifier,False,0.60,0.59,0.58
11994288,SGDClassifier,False,0.60,0.59,0.58
12294288,SGDClassifier,False,0.60,0.59,0.59
12594288,SGDClassifier,False,0.60,0.59,0.58
12894288,SGDClassifier,False,0.60,0.59,0.58
13194288,SGDClassifier,False,0.60,0.59,0.58
13494288,SGDClassifier,False,0.60,0.59,0.58
13794288,SGDClassifier,False,0.60,0.59,0.58
14094288,SGDClassifier,False,0.60,0.59,0.58
14394288,SGDClassifier,False,0.60,0.59,0.58
14694288,SGDClassifier,False,0.60,0.59,0.58
14994288,SGDClassifier,False,0.60,0.59,0.58
15294288,SGDClassifier,False,0.60,0.59,0.59
15594288,SGDClassifier,False,0.60,0.59,0.58
15894288,SGDClassifier,False,0.60,0.59,0.58
16194288,SGDClassifier,False,0.60,0.59,0.58
16494288,SGDClassifier,False,0.60,0.59,0.58
16794288,SGDClassifier,False,0.60,0.59,0.58
17094288,SGDClassifier,False,0.60,0.59,0.58
17394288,SGDClassifier,False,0.60,0.59,0.58
17694288,SGDClassifier,False,0.60,0.59,0.58
17994288,SGDClassifier,False,0.60,0.59,0.58
18025887,SGDClassifier,False,0.60,0.59,0.58
16,MultinomialNB,False,0.54,0.32,0.16
48,MultinomialNB,False,0.45,0.32,0.15
112,MultinomialNB,False,0.55,0.33,0.19
240,MultinomialNB,False,0.48,0.41,0.36
496,MultinomialNB,False,0.51,0.42,0.38
1008,MultinomialNB,False,0.51,0.48,0.47
2032,MultinomialNB,False,0.52,0.51,0.50
4080,MultinomialNB,False,0.54,0.54,0.54
8176,MultinomialNB,False,0.56,0.56,0.56
16368,MultinomialNB,False,0.58,0.58,0.58
32752,MultinomialNB,False,0.59,0.59,0.59
65520,MultinomialNB,False,0.60,0.60,0.60
131056,MultinomialNB,False,0.60,0.60,0.60
262128,MultinomialNB,False,0.61,0.61,0.61
524272,MultinomialNB,False,0.61,0.61,0.61
1048560,MultinomialNB,False,0.61,0.62,0.61
2097136,MultinomialNB,False,0.62,0.62,0.62
4194288,MultinomialNB,False,0.62,0.62,0.62
4494288,MultinomialNB,False,0.62,0.62,0.62
4794288,MultinomialNB,False,0.62,0.62,0.62
5094288,MultinomialNB,False,0.62,0.62,0.62
5394288,MultinomialNB,False,0.62,0.62,0.62
5694288,MultinomialNB,False,0.62,0.62,0.62
5994288,MultinomialNB,False,0.62,0.62,0.62
6294288,MultinomialNB,False,0.62,0.62,0.62
6594288,MultinomialNB,False,0.62,0.62,0.62
6894288,MultinomialNB,False,0.62,0.62,0.62
7194288,MultinomialNB,False,0.62,0.62,0.62
7494288,MultinomialNB,False,0.62,0.62,0.62
7794288,MultinomialNB,False,0.62,0.62,0.62
8094288,MultinomialNB,False,0.62,0.62,0.62
8394288,MultinomialNB,False,0.62,0.62,0.62
8694288,MultinomialNB,False,0.62,0.62,0.62
8994288,MultinomialNB,False,0.62,0.62,0.62
9294288,MultinomialNB,False,0.62,0.62,0.62
9594288,MultinomialNB,False,0.62,0.62,0.62
9894288,MultinomialNB,False,0.62,0.62,0.62
10194288,MultinomialNB,False,0.62,0.62,0.62
10494288,MultinomialNB,False,0.62,0.62,0.62
10794288,MultinomialNB,False,0.62,0.62,0.62
11094288,MultinomialNB,False,0.62,0.62,0.62
11394288,MultinomialNB,False,0.62,0.62,0.62
11694288,MultinomialNB,False,0.62,0.62,0.62
11994288,MultinomialNB,False,0.62,0.62,0.62
12294288,MultinomialNB,False,0.62,0.62,0.62
12594288,MultinomialNB,False,0.62,0.62,0.62
12894288,MultinomialNB,False,0.62,0.62,0.62
13194288,MultinomialNB,False,0.62,0.62,0.62
13494288,MultinomialNB,False,0.62,0.62,0.62
13794288,MultinomialNB,False,0.62,0.62,0.62
14094288,MultinomialNB,False,0.62,0.62,0.62
14394288,MultinomialNB,False,0.62,0.62,0.62
14694288,MultinomialNB,False,0.62,0.62,0.62
14994288,MultinomialNB,False,0.62,0.62,0.62
15294288,MultinomialNB,False,0.62,0.62,0.62
15594288,MultinomialNB,False,0.62,0.62,0.62
15894288,MultinomialNB,False,0.62,0.62,0.62
16194288,MultinomialNB,False,0.62,0.62,0.62
16494288,MultinomialNB,False,0.62,0.62,0.62
16794288,MultinomialNB,False,0.62,0.62,0.62
17094288,MultinomialNB,False,0.62,0.62,0.62
17394288,MultinomialNB,False,0.62,0.62,0.62
17694288,MultinomialNB,False,0.62,0.62,0.62
17994288,MultinomialNB,False,0.62,0.62,0.62
18025887,MultinomialNB,False,0.62,0.62,0.62
